

Room: A302

1 - EEE1: 1	2 - ECE2: 1

3 - EEE1: 2	4 - ECE2: 2

5 - EEE1: 3	6 - ECE2: 3

7 - EEE1: 4	8 - ECE2: 4

9 - EEE1: 5	10 - ECE2: 5

11 - EEE1: 6	12 - ECE2: 6

13 - EEE1: 7	14 - ECE2: 7

15 - EEE1: 8	16 - ECE2: 8

17 - EEE1: 9	18 - ECE2: 9

19 - EEE1: 11	20 - ECE2: 10

21 - EEE1: 12	22 - ECE2: 11

23 - EEE1: 13	24 - ECE2: 12

25 - EEE1: 14	26 - ECE2: 13

27 - EEE1: 15	28 - ECE2: 14

29 - EEE1: 16	30 - ECE2: 16

31 - EEE1: 17	32 - ECE2: 17

33 - EEE1: 18	34 - ECE2: 18

35 - EEE1: 19	36 - ECE2: 20

37 - EEE1: 20	38 - ECE2: 21

39 - EEE1: 21	40 - ECE2: 22

41 - EEE1: 22	42 - ECE2: 23


Room: A304

1 - EEE1: 23	2 - ECE2: 24

3 - EEE1: 24	4 - ECE2: 25

5 - EEE1: 25	6 - ECE2: 26

7 - EEE1: 26	8 - ECE2: 27

9 - EEE1: 28	10 - ECE2: 28

11 - EEE1: 29	12 - ECE2: 29

13 - EEE1: 30	14 - ECE2: 30

15 - EEE1: 31	16 - ECE2: 31

17 - EEE1: 32	18 - ECE2: 32

19 - EEE1: 33	20 - ECE2: 33

21 - EEE1: 34	22 - ECE2: 34

23 - EEE1: 35	24 - ECE2: 35

25 - EEE1: 36	26 - ECE2: 36

27 - EEE1: 37	28 - ECE2: 37

29 - EEE1: 39	30 - ECE2: 38

31 - EEE1: 40	32 - ECE2: 39

33 - EEE1: 41	34 - ECE2: 40

35 - EEE1: 42	36 - ECE2: 41

37 - EEE1: 43	38 - ECE2: 42

39 - EEE1: 44	40 - ECE2: 43

41 - EEE1: 45	

Room: A306

1 - CE1: 1	2 - ME1: 1

3 - CE1: 2	4 - ME1: 2

5 - CE1: 3	6 - ME1: 3

7 - CE1: 4	8 - ME1: 4

9 - CE1: 5	10 - ME1: 5

11 - CE1: 6	12 - ME1: 6

13 - CE1: 7	14 - ME1: 7

15 - CE1: 8	16 - ME1: 8

17 - CE1: 9	18 - ME1: 9

19 - CE1: 11	20 - ME1: 10

21 - CE1: 12	22 - ME1: 11

23 - CE1: 13	24 - ME1: 12

25 - CE1: 14	26 - ME1: 13

27 - CE1: 15	28 - ME1: 14

29 - CE1: 16	30 - ME1: 15

31 - CE1: 17	32 - ME1: 16

33 - CE1: 18	34 - ME1: 17

35 - CE1: 19	36 - ME1: 18

37 - CE1: 20	38 - ME1: 19

39 - CE1: 22	40 - ME1: 20

41 - CE1: 23	42 - ME1: 21


Room: B213

1 - CE1: 24	2 - ME1: 22

3 - CE1: 25	4 - ME1: 23

5 - CE1: 26	6 - ME1: 24

7 - CE1: 27	8 - ME1: 25

9 - CE1: 28	10 - ME1: 26

11 - CE1: 29	12 - ME1: 27

13 - CE1: 31	14 - ME1: 28

15 - CE1: 32	16 - ME1: 29

17 - CE1: 33	18 - ME1: 30

19 - CE1: 34	20 - ME1: 31

21 - CE1: 35	22 - ME1: 32

23 - CE1: 36	24 - ME1: 33

25 - CE1: 37	26 - ME1: 34

27 - CE1: 38	28 - ME1: 35


Room: B205
