

Hall: C Block


CSE1

seat - class   roll

 1   -   CSE1  1

 2   -   CSE1  2

 3   -   CSE1  3

 4   -   CSE1  4

 5   -   CSE1  5

 6   -   CSE1  6

 7   -   CSE1  7

 8   -   CSE1  8

 9   -   CSE1  9

 10   -   CSE1  10

 11   -   CSE1  11

 12   -   CSE1  12

 13   -   CSE1  13

 14   -   CSE1  14

 15   -   CSE1  15

 16   -   CSE1  16

 17   -   CSE1  17

 18   -   CSE1  18

 19   -   CSE1  19

 20   -   CSE1  20

 21   -   CSE1  21

 22   -   CSE1  22

 23   -   CSE1  23

 24   -   CSE1  24

 25   -   CSE1  25

 26   -   CSE1  26

 27   -   CSE1  27

 28   -   CSE1  28

 29   -   CSE1  29

 30   -   CSE1  30

 31   -   CSE1  31

 32   -   CSE1  32

 33   -   CSE1  33

 34   -   CSE1  34

 35   -   CSE1  35

 36   -   CSE1  36

 37   -   CSE1  37

 38   -   CSE1  38

 39   -   CSE1  39

 40   -   CSE1  40

 41   -   CSE1  41

 42   -   CSE1  42

 43   -   CSE1  43

 44   -   CSE1  44

 45   -   CSE1  45

 46   -   CSE1  46

 47   -   CSE1  47

 48   -   CSE1  48

 49   -   CSE1  49

 50   -   CSE1  50

 51   -   CSE1  51

 52   -   CSE1  52

 53   -   CSE1  53

 54   -   CSE1  54

 55   -   CSE1  55

 56   -   CSE1  56

 57   -   CSE1  57

 58   -   CSE1  58

CSE2

seat - class   roll

 59   -   CSE2  1

 60   -   CSE2  2

 61   -   CSE2  3

 62   -   CSE2  4

 63   -   CSE2  5

 64   -   CSE2  6

 65   -   CSE2  7

 66   -   CSE2  8

 67   -   CSE2  9

 68   -   CSE2  10

 69   -   CSE2  11

 70   -   CSE2  12

 71   -   CSE2  13

 72   -   CSE2  14

 73   -   CSE2  15

 74   -   CSE2  16

 75   -   CSE2  17

 76   -   CSE2  18

 77   -   CSE2  19

 78   -   CSE2  20

 79   -   CSE2  21

 80   -   CSE2  22

 81   -   CSE2  23

 82   -   CSE2  24

 83   -   CSE2  25

 84   -   CSE2  26

 85   -   CSE2  27

 86   -   CSE2  28

 87   -   CSE2  29

 88   -   CSE2  30

 89   -   CSE2  31

 90   -   CSE2  32

 91   -   CSE2  33

 92   -   CSE2  34

 93   -   CSE2  35

 94   -   CSE2  36

 95   -   CSE2  37

 96   -   CSE2  38

 97   -   CSE2  39

 98   -   CSE2  40

 99   -   CSE2  41

 100   -   CSE2  42

 101   -   CSE2  43

 102   -   CSE2  44

 103   -   CSE2  45

 104   -   CSE2  46

 105   -   CSE2  47

 106   -   CSE2  48

 107   -   CSE2  49

 108   -   CSE2  50

 109   -   CSE2  51

 110   -   CSE2  52

 111   -   CSE2  53

 112   -   CSE2  54

ECE1

seat - class   roll

 113   -   ECE1  1

 114   -   ECE1  2

 115   -   ECE1  3

 116   -   ECE1  4

 117   -   ECE1  5

 118   -   ECE1  6

 119   -   ECE1  7

 120   -   ECE1  8

 121   -   ECE1  9

 122   -   ECE1  10

 123   -   ECE1  11

 124   -   ECE1  12

 125   -   ECE1  13

 126   -   ECE1  14

 127   -   ECE1  15

 128   -   ECE1  16

 129   -   ECE1  17

 130   -   ECE1  18

 131   -   ECE1  19

 132   -   ECE1  20

 133   -   ECE1  21

 134   -   ECE1  22

 135   -   ECE1  23

 136   -   ECE1  24

 137   -   ECE1  25

 138   -   ECE1  26

 139   -   ECE1  27

 140   -   ECE1  28

 141   -   ECE1  29

 142   -   ECE1  30

 143   -   ECE1  31

 144   -   ECE1  32

 145   -   ECE1  33

 146   -   ECE1  34

 147   -   ECE1  35

 148   -   ECE1  36

 149   -   ECE1  37

 150   -   ECE1  38

 151   -   ECE1  39

 152   -   ECE1  40

 153   -   ECE1  41

 154   -   ECE1  42

 155   -   ECE1  43

 156   -   ECE1  44

 157   -   ECE1  45

 158   -   ECE1  46

 159   -   ECE1  47

 160   -   ECE1  48


Hall: Civil Hall


Hall: Mech Hall
